time,ax,ay,az,wx,wy,wz,Bx,By,Bz
2023-10-17 22:19:31.9560,-0.03,0.03,0.13,0.01,-0.08,0.02,6.19,101.65,-626.67
2023-10-17 22:19:31.9660,-0.03,0.03,0.19,0.02,-0.07,0.01,6.04,101.63,-626.43
2023-10-17 22:19:31.9760,-0.01,-0.04,0.05,0.03,-0.08,0.0,5.65,101.2,-626.41
2023-10-17 22:19:31.9860,0.0,-0.05,-0.08,0.02,-0.08,0.01,6.0,101.94,-627.13
2023-10-17 22:19:31.9960,-0.03,0.03,-0.07,0.0,-0.08,0.02,6.04,101.76,-626.76
2023-10-17 22:19:32.0060,-0.07,0.12,-0.09,-0.02,-0.08,0.04,5.74,101.2,-626.66
2023-10-17 22:19:32.0160,-0.11,0.11,-0.14,-0.02,-0.11,0.06,6.01,101.29,-626.56
2023-10-17 22:19:32.0260,-0.1,0.0,-0.16,-0.02,-0.14,0.06,5.9,101.49,-626.69
2023-10-17 22:19:32.0360,-0.02,0.02,-0.01,-0.02,-0.17,0.08,6.28,101.47,-626.92
2023-10-17 22:19:32.0460,-0.06,0.11,0.16,0.01,-0.17,0.1,6.16,101.35,-626.75
2023-10-17 22:19:32.0560,-0.07,0.06,0.26,0.06,-0.18,0.09,6.14,101.58,-627.04
2023-10-17 22:19:32.0660,0.01,-0.04,0.17,0.1,-0.18,0.06,6.09,101.33,-626.86
2023-10-17 22:19:32.0770,0.04,-0.14,0.21,0.1,-0.16,0.06,5.93,101.65,-627.02
2023-10-17 22:19:32.0870,0.15,-0.12,0.16,0.06,-0.14,0.07,6.41,101.54,-627.51
2023-10-17 22:19:32.0970,-0.06,-0.02,0.05,0.03,-0.1,0.06,5.85,101.6,-626.34
2023-10-17 22:19:32.1070,-0.11,0.01,-0.04,0.01,-0.09,0.04,6.07,101.52,-627.3
2023-10-17 22:19:32.1170,-0.09,0.0,-0.05,0.01,-0.07,0.03,6.4,101.89,-627.21
2023-10-17 22:19:32.1270,-0.15,-0.03,-0.15,0.03,-0.07,0.02,6.58,101.57,-627.25
2023-10-17 22:19:32.1370,-0.11,0.0,-0.14,0.05,-0.08,0.01,6.48,101.67,-626.87
2023-10-17 22:19:32.1470,-0.06,0.02,-0.06,0.04,-0.11,0.0,6.53,101.54,-626.83
2023-10-17 22:19:32.1570,-0.07,0.0,-0.07,0.01,-0.09,-0.02,6.43,102.11,-627.35
2023-10-17 22:19:32.1670,0.15,-0.09,-0.12,-0.02,-0.05,-0.03,6.73,101.67,-627.75
2023-10-17 22:19:32.1770,0.08,-0.09,-0.22,-0.03,-0.02,-0.02,6.64,101.64,-626.74
2023-10-17 22:19:32.1870,-0.1,0.01,-0.21,-0.01,-0.02,-0.0,6.39,101.68,-627.79
2023-10-17 22:19:32.1970,-0.16,0.03,-0.07,0.01,-0.0,-0.0,6.45,102.01,-627.08
2023-10-17 22:19:32.2070,-0.06,-0.06,0.08,0.04,0.02,-0.01,6.77,101.48,-627.73
2023-10-17 22:19:32.2180,0.07,-0.12,0.07,0.05,0.04,-0.01,6.9,102.16,-627.23
2023-10-17 22:19:32.2270,0.11,-0.14,0.06,0.06,0.03,-0.01,6.25,101.47,-627.96
2023-10-17 22:19:32.2370,0.05,-0.11,0.08,0.06,0.03,-0.01,6.61,102.6,-626.9
2023-10-17 22:19:32.2470,0.01,-0.04,0.12,0.06,0.02,-0.01,6.18,101.53,-627.26
2023-10-17 22:19:32.2570,-0.04,0.0,0.11,0.05,0.01,-0.0,6.76,102.06,-627.35
2023-10-17 22:19:32.2680,-0.06,0.02,0.07,0.03,-0.0,-0.01,6.6,101.72,-627.81
2023-10-17 22:19:32.2780,-0.04,0.02,0.01,0.0,-0.01,0.0,6.51,102.13,-627.38
2023-10-17 22:19:32.2880,-0.04,0.04,-0.06,-0.02,-0.0,0.01,6.41,101.63,-627.65
2023-10-17 22:19:32.2980,-0.03,0.07,-0.11,-0.03,-0.0,0.01,6.29,102.04,-627.23
2023-10-17 22:19:32.3080,-0.01,0.06,-0.15,-0.04,-0.02,0.01,6.14,101.42,-627.73
2023-10-17 22:19:32.3180,-0.02,0.01,-0.14,-0.04,-0.02,0.01,6.19,102.01,-626.96
2023-10-17 22:19:32.3280,-0.05,-0.01,-0.08,-0.04,-0.02,0.01,6.59,101.53,-627.45
2023-10-17 22:19:32.3380,-0.02,0.0,-0.08,-0.04,-0.02,0.01,6.31,102.21,-626.89
2023-10-17 22:19:32.3480,-0.01,-0.03,-0.13,-0.04,-0.02,0.0,6.47,101.55,-627.94
2023-10-17 22:19:32.3580,0.01,-0.04,-0.12,-0.04,-0.02,0.0,6.64,102.14,-626.86
2023-10-17 22:19:32.3680,0.01,0.0,-0.05,-0.04,-0.02,-0.0,6.25,101.11,-627.36
2023-10-17 22:19:32.3780,-0.02,0.03,0.01,-0.03,-0.02,-0.01,6.64,102.28,-627.36
2023-10-17 22:19:32.3880,-0.04,-0.01,0.01,-0.03,-0.03,-0.01,6.41,101.5,-627.79
2023-10-17 22:19:32.3990,-0.02,-0.03,0.03,-0.04,-0.02,-0.01,6.58,101.92,-626.49
2023-10-17 22:19:32.4090,0.0,-0.03,0.04,-0.04,-0.02,-0.01,6.38,101.55,-627.47
2023-10-17 22:19:32.4190,-0.01,-0.04,0.03,-0.03,-0.02,-0.01,6.17,102.1,-627.48
2023-10-17 22:19:32.4290,0.0,-0.03,0.02,-0.03,-0.01,-0.01,6.48,101.25,-627.78
2023-10-17 22:19:32.4390,-0.01,-0.03,0.03,-0.03,-0.01,-0.01,6.45,101.88,-627.13
2023-10-17 22:19:32.4490,-0.02,0.0,0.01,-0.03,-0.01,-0.0,6.28,101.57,-627.83
2023-10-17 22:19:32.4590,-0.02,0.0,0.02,-0.02,-0.01,-0.01,6.23,101.94,-627.24
2023-10-17 22:19:32.4690,-0.05,0.02,0.05,-0.01,-0.02,-0.01,6.5,101.5,-627.8
2023-10-17 22:19:32.4790,-0.03,0.02,0.03,-0.01,-0.02,-0.02,6.25,101.92,-627.3
2023-10-17 22:19:32.4890,0.01,0.01,0.01,-0.03,-0.03,-0.02,6.35,101.35,-627.52
2023-10-17 22:19:32.4990,0.01,0.01,-0.05,-0.04,-0.04,-0.02,6.58,101.95,-626.83
2023-10-17 22:19:32.5090,0.01,0.04,-0.09,-0.06,-0.03,-0.02,6.47,101.58,-627.55
2023-10-17 22:19:32.5190,0.02,0.07,-0.11,-0.07,-0.04,-0.01,6.25,102.11,-627.1
2023-10-17 22:19:32.5290,0.01,0.07,-0.11,-0.07,-0.07,-0.01,6.61,101.52,-628.08
2023-10-17 22:19:32.5390,-0.02,0.08,-0.07,-0.09,-0.09,-0.0,6.95,102.02,-627.35
2023-10-17 22:19:32.5490,-0.02,0.14,-0.08,-0.11,-0.11,-0.0,6.23,101.34,-627.66
2023-10-17 22:19:32.5590,0.05,0.2,-0.18,-0.14,-0.12,0.02,6.93,101.97,-626.52
2023-10-17 22:19:32.5690,0.04,0.18,-0.22,-0.16,-0.12,0.04,6.6,101.44,-627.76
2023-10-17 22:19:32.5790,-0.05,0.25,-0.28,-0.16,-0.1,0.06,6.62,101.57,-626.88
2023-10-17 22:19:32.5900,-0.16,0.31,-0.27,-0.15,-0.12,0.11,6.87,101.13,-628.0
2023-10-17 22:19:32.6000,-0.32,0.33,-0.28,-0.13,-0.11,0.14,7.06,101.55,-627.36
2023-10-17 22:19:32.6100,-0.44,0.31,-0.3,-0.11,-0.1,0.17,6.49,101.64,-627.65
2023-10-17 22:19:32.6200,-0.41,0.33,-0.39,-0.08,-0.06,0.22,6.69,101.33,-628.31
